fold,type,rank,song_name,time_range,loss,acc,f1_macro
fold10_0313_141211,highest,1,f227bc1b-05-광한루_풍경V천자뒤푸리_vocal.mid,0-30s,6.516628,0.0,0.0
fold10_0313_141211,highest,2,f227bc1b-05-광한루_풍경V천자뒤푸리_vocal.mid,150-180s,5.557945,0.0,0.0
fold10_0313_141211,highest,3,493c43bc-07-김소희-춘향가_춘향_어사또_상봉_대목_vocal.mid,30-60s,5.072326,0.0,0.0
fold10_0313_141211,highest,4,f227bc1b-05-광한루_풍경V천자뒤푸리_vocal.mid,180-210s,4.681071,0.0,0.0
fold10_0313_141211,highest,5,b43b56d6-03-성우향-춘향가_이도령이_광한루에서_구경하는_데적성가춘향이_등장하는_데_vocal.mid,150-180s,4.585977,0.0,0.0
fold10_0313_141211,highest,6,8b4d0824-02-조상현-춘향가_그때의_어사또는엇중몰이_vocal.mid,240-270s,3.489886,0.49,0.292213
fold10_0313_141211,highest,7,8b4d0824-02-조상현-춘향가_그때의_어사또는엇중몰이_vocal.mid,1380-1410s,2.687898,0.0,0.0
fold10_0313_141211,highest,8,b7b86430-04-김일구-적벽가_공명유비_뜻_받아_들이는데_vocal.mid,300-330s,2.558101,0.0,0.0
fold10_0313_141211,highest,9,276d23b9-10-01_심청가_--_심청_몸을_팖-01_vocal.mid,240-270s,2.374736,0.0,0.0
fold10_0313_141211,highest,10,8a12efea-03-오정숙-흥보가_셋째_박에서_양귀비가_나옴_vocal.mid,240-270s,2.288144,0.0,0.0
fold10_0313_141211,lowest,1,cd662ce9-01-김소희-춘향가_초입_vocal.mid,60-90s,0.000306,1.0,0.333333
fold10_0313_141211,lowest,2,f67c204c-06-김연수-적벽가_조조가_오한진_장수를_헐뜯는_데_vocal.mid,30-60s,0.000458,1.0,0.333333
fold10_0313_141211,lowest,3,389c147d-11-01_심청가_--_심청_떠남-01_vocal.mid,60-90s,0.000516,1.0,0.333333
fold10_0313_141211,lowest,4,8b4d0824-02-조상현-춘향가_그때의_어사또는엇중몰이_vocal.mid,1050-1080s,0.000632,1.0,0.333333
fold10_0313_141211,lowest,5,cd662ce9-01-김소희-춘향가_초입_vocal.mid,30-60s,0.000709,1.0,0.333333
fold10_0313_141211,lowest,6,2073c5ba-03-심청가_심봉사_공양미_삼백석_권선하는데심청_아버지를_위로하는데_vocal.mid,300-330s,0.000986,1.0,0.333333
fold10_0313_141211,lowest,7,8b4d0824-02-조상현-춘향가_그때의_어사또는엇중몰이_vocal.mid,0-30s,0.001102,1.0,0.333333
fold10_0313_141211,lowest,8,c5fceb5f-오케-심청전11_vocal.mid,120-150s,0.001206,1.0,0.333333
fold10_0313_141211,lowest,9,389c147d-11-01_심청가_--_심청_떠남-01_vocal.mid,330-360s,0.001419,1.0,0.333333
fold10_0313_141211,lowest,10,1c55c3a4-03-안숙선-적벽가_장승타령_vocal.mid,0-30s,0.001555,1.0,0.333333
fold1_0313_004641,highest,1,ed10d9c2-02-조상현-춘향가_사령_뒤를_따라간다진양_vocal.mid,210-240s,4.323978,0.0,0.0
fold1_0313_004641,highest,2,ded5bd92-02-안숙선-적벽가_동남풍_비는_데_vocal.mid,240-270s,3.934598,0.0,0.0
fold1_0313_004641,highest,3,ef6dedde-04-오정숙-흥보가_흥보_가난하게_삶_vocal.mid,150-180s,3.614372,0.399329,0.190248
fold1_0313_004641,highest,4,cf0f2a2c-02-이일주-심청가_뺑덕이네_가산_탕진_vocal.mid,150-180s,3.563542,0.198653,0.110487
